data,precipitacao total,pressao atmos nv estacao,pressao atmos max,pressao atmos min,radiacao,temp ar,temp pronto orvalho,temp max,temp min,temp orvalho max,temp orvalho min,umidade max,umidade min,umidade relativa ar,vento direcao,vento rajada max,vento velocidade,dia_do_mes,semana_do_ano,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,hora_num,hora_sin,hora_cos,umidade_lag_1h,umidade_lag_3h,pressao_lag_1h,pressao_tendencia_1h,umidade_media_3h,umidade_std_3h,umidade_media_6h,umidade_std_6h,umidade_media_12h,umidade_std_12h,umidade_media_24h,umidade_std_24h,chuva_acumulada_24h,choveu
2024-01-01,2.6,884.5,884.5,883.8,50.745457,20.5,19.8,20.6,20.3,20.0,19.7,97.0,96.0,96.0,103.0,4.6,1.5,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,23,-0.25881904510252157,0.9659258262890681,96.0,69.0,883.9,0.5999756,96.0,0.0,83.66666666666667,14.841383583300678,76.08333333333333,14.951183190232081,82.54166666666667,12.765371523967778,35.59999942779541,1
2024-01-02,0.2,885.3,885.3,884.5,45.79091,20.2,19.6,20.6,20.1,19.8,19.4,96.0,95.0,96.0,51.0,4.9,1.8,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0.0,1.0,96.0,96.0,884.5,0.7999878,96.0,0.0,86.0,15.607690412101338,77.83333333333333,16.004734148104884,83.25,13.02923134974651,35.79999943077564,1
2024-01-02,0.0,885.9,885.9,885.3,40.836365,20.3,19.6,20.3,20.2,19.7,19.6,96.0,96.0,96.0,97.0,4.2,1.4,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,1,0.25881904510252074,0.9659258262890683,96.0,96.0,885.3,0.6000366,96.0,0.0,91.5,11.022703842524287,79.91666666666667,16.648550760478876,83.70833333333333,13.284443882803759,35.79999943077564,0
2024-01-02,1.0,886.0,886.0,885.8,35.881817,20.3,19.6,20.4,20.2,19.7,19.5,96.0,95.0,96.0,19.0,6.6,2.0,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2,0.49999999999999994,0.8660254037844387,96.0,96.0,885.9,0.099975586,96.0,0.0,96.0,0.0,82.66666666666667,16.322507234620595,84.04166666666667,13.495503813804273,36.79999943077564,1
2024-01-02,3.4,885.6,886.0,885.6,30.927273,20.2,19.7,20.4,20.1,19.7,19.5,97.0,96.0,97.0,314.0,6.6,1.6,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,3,0.7071067811865476,0.7071067811865476,96.0,96.0,886.0,-0.4000244,96.33333333333333,0.5773502691897263,96.16666666666667,0.4082482904631007,86.08333333333333,14.412484066589494,84.54166666666667,13.75240426937798,40.199999526143074,1
2024-01-02,0.0,884.9,885.6,884.9,25.972727,19.9,19.4,20.2,19.9,19.7,19.4,97.0,97.0,97.0,294.0,3.5,1.5,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,4,0.8660254037844386,0.5000000000000001,97.0,96.0,885.6,-0.6999512,96.66666666666667,0.5773502691897263,96.33333333333333,0.5163977794937146,89.25,11.871470767424615,84.875,13.960542221935173,40.199999526143074,0
2024-01-02,0.6,884.5,885.0,884.4,21.018183,19.4,18.9,19.9,19.4,19.4,18.9,97.0,96.0,97.0,308.0,3.5,1.3,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,5,0.9659258262890683,0.25881904510252074,97.0,96.0,884.9,-0.4000244,97.0,0.0,96.5,0.5477225575045916,90.08333333333333,12.04882742943235,85.125,14.127717129966458,40.79999954998493,1
2024-01-02,0.4,884.2,884.4,884.1,16.063637,19.4,18.8,19.5,19.3,18.9,18.8,97.0,96.0,96.0,297.0,2.3,0.8,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,6,1.0,6.123233995736766e-17,97.0,97.0,884.5,-0.2999878,96.66666666666667,0.5773502691897263,96.5,0.5477225575045916,91.25,11.871470767424613,85.20833333333333,14.18811249715352,41.199999555945396,1
2024-01-02,1.4,884.2,884.2,884.1,11.109091,19.4,18.9,19.4,19.3,18.9,18.8,97.0,96.0,97.0,278.0,1.5,0.6,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,7,0.9659258262890683,-0.25881904510252063,96.0,97.0,884.2,0.0,96.66666666666667,0.5773502691897263,96.66666666666667,0.5163977794937146,94.08333333333333,7.913835219334982,85.33333333333333,14.281842125326602,42.59999953210354,1
2024-01-02,0.6,884.4,884.4,884.1,6.154546,19.4,18.9,19.4,19.3,18.9,18.7,97.0,97.0,97.0,169.0,2.1,0.9,2,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,8,0.8660254037844387,-0.4999999999999998,97.0,97.0,884.2,0.2000122,96.66666666666667,0.5773502691897263,96.83333333333333,0.4082482904631007,96.41666666666667,0.5149286505432987,85.45833333333333,14.373826354105256,43.199999555945396,1
